,income
243,0.0
244,0.027
245,0.052
246,0.862
247,0.0
248,0.942
249,0.114
250,0.716
251,0.276
252,0.001
253,0.008
254,0.038
255,0.67
256,0.0
257,0.0
258,0.035
259,0.009
260,0.039
261,0.196
262,0.0
263,0.169
264,0.034
265,0.808
266,0.0
267,0.598
268,0.049
269,0.186
270,0.838
271,0.0
272,0.155
273,0.008
274,0.001
275,0.039
276,0.991
277,0.011
278,0.0
279,0.926
280,0.002
281,0.987
282,0.03
283,0.054
284,0.0
285,0.983
286,0.91
287,0.052
288,0.002
289,0.006
290,0.35
291,0.006
292,0.128
293,0.001
294,0.009
295,0.011
296,0.09
297,0.142
298,0.0
299,0.036
300,0.999
301,0.005
302,0.178
303,0.757
304,0.115
305,0.008
306,0.045
307,0.039
308,0.753
309,0.679
310,0.002
311,0.984
312,0.0
313,0.666
314,0.0
315,0.0
316,0.308
317,0.003
318,0.05
319,0.001
320,0.282
321,0.103
322,0.017
323,0.004
324,0.092
325,0.099
326,0.002
327,0.917
328,0.123
329,0.172
330,0.024
331,0.016
332,0.004
333,0.03
334,0.199
335,0.006
336,0.003
337,0.441
338,0.002
339,0.035
340,0.011
341,0.998
342,0.988
343,0.0
344,0.009
345,0.025
346,0.01
347,0.018
348,0.036
349,0.007
350,0.901
351,0.04
352,0.944
353,0.038
354,0.707
355,0.266
356,0.019
357,0.723
358,0.26
359,0.018
360,0.018
361,0.844
362,0.257
363,0.834
364,0.014
365,0.097
366,0.144
367,0.002
368,0.781
369,0.016
370,0.002
371,0.0
372,0.743
373,0.078
374,0.002
375,0.0
376,0.109
377,0.001
378,0.029
379,0.057
380,0.052
381,0.236
382,0.043
383,0.001
384,0.139
385,0.0
386,0.0
387,0.871
388,0.0
389,0.0
390,0.726
391,0.031
392,0.008
393,0.975
394,0.0
395,0.186
396,0.0
397,0.0
398,0.747
399,0.945
400,0.0
401,0.012
402,0.762
403,0.05
404,0.059
405,0.992
406,0.021
407,0.013
408,0.37
409,0.204
410,0.024
411,0.0
412,0.016
413,0.998
414,0.314
415,0.042
416,0.011
417,0.004
418,0.006
419,0.013
420,0.063
421,0.0
422,0.771
423,0.0
424,0.008
425,0.067
426,0.086
427,0.004
428,0.695
429,0.247
430,0.005
431,0.0
432,0.066
433,0.446
434,0.013
435,0.796
436,0.026
437,0.025
438,0.026
439,0.264
440,0.035
441,0.012
442,0.0
443,0.753
444,0.0
445,0.001
446,0.003
447,0.118
448,0.003
449,0.0
450,0.0
451,0.919
452,0.628
453,0.794
454,0.856
455,0.765
456,0.084
457,0.153
458,0.069
459,0.08
460,0.001
461,0.183
462,0.151
463,0.006
464,0.003
465,0.105
466,0.058
467,0.154
468,0.998
469,0.87
470,0.656
471,0.0
472,0.014
473,0.024
474,0.008
475,0.005
476,0.002
477,0.0
478,0.0
479,0.002
480,0.16
481,0.089
482,0.015
483,0.009
484,0.006
485,0.001
486,0.035
487,0.157
488,0.018
489,0.991
490,0.002
491,0.01
492,0.108
493,0.017
494,0.003
495,0.007
496,0.0
497,0.007
498,0.003
499,0.003
500,0.005
501,0.077
502,0.11
503,0.016
504,0.002
505,0.003
506,0.0
507,0.173
508,0.002
509,0.007
510,0.089
511,0.002
512,0.02
513,0.268
514,0.003
515,0.004
516,0.001
517,0.0
518,0.002
519,0.859
520,0.996
521,0.999
522,0.102
523,0.806
524,0.71
525,0.028
526,0.947
527,0.008
528,0.033
529,0.333
530,0.007
531,0.0
532,0.083
533,0.909
534,0.995
535,0.098
536,0.0
537,0.003
538,0.02
539,0.0
540,0.152
541,0.036
542,0.001
543,0.004
544,0.168
545,0.008
546,0.028
547,0.278
548,0.0
549,0.007
550,0.273
551,0.003
552,0.019
553,0.23
554,0.691
555,0.003
556,0.007
557,0.001
558,0.257
559,0.001
560,0.094
561,0.832
562,0.862
563,0.002
564,0.868
565,0.024
566,0.422
567,0.003
568,0.001
569,0.114
570,0.002
571,0.076
572,0.0
573,0.725
574,0.036
575,0.751
576,0.0
577,0.005
578,0.049
579,0.073
580,0.694
581,0.763
582,0.081
583,0.006
584,0.13
585,0.0
586,0.01
587,0.0
588,0.843
589,0.524
590,0.106
591,0.141
592,0.664
593,0.973
594,0.0
595,0.001
596,0.001
597,1.0
598,0.01
599,0.162
600,0.012
601,0.0
602,0.012
603,0.037
604,0.02
605,0.004
606,0.852
607,0.003
608,0.016
609,0.0
610,0.16
611,0.0
612,0.093
613,0.0
614,0.0
615,0.014
616,0.262
617,0.042
618,0.249
619,0.999
620,0.001
621,0.0
622,0.001
623,0.129
624,0.004
625,0.002
626,0.655
627,0.12
628,0.834
629,0.805
630,0.016
631,0.0
632,0.991
633,0.395
634,0.128
635,0.0
636,0.0
637,1.0
638,0.085
639,0.885
640,0.008
641,0.065
642,0.0
643,0.98
644,0.019
645,0.869
646,0.024
647,0.008
648,0.185
649,0.853
650,0.0
651,0.009
652,0.525
653,0.038
654,0.0
655,0.003
656,0.002
657,0.025
658,0.006
659,0.675
660,0.686
661,0.238
662,0.006
663,0.073
664,0.0
665,0.944
666,0.098
667,0.658
668,0.004
669,0.002
670,0.079
671,0.0
672,0.0
673,0.716
674,0.573
675,0.0
676,0.0
677,0.075
678,0.026
679,0.131
680,0.005
681,0.673
682,0.774
683,0.014
684,0.001
685,0.053
686,0.004
687,0.307
688,0.029
689,0.0
690,0.137
691,0.005
692,0.577
693,0.001
694,0.002
695,0.042
696,0.808
697,0.932
698,0.021
699,0.0
700,0.038
701,0.085
702,0.0
703,0.044
704,0.981
705,0.767
706,0.052
707,0.021
708,0.138
709,0.0
710,0.37
711,0.012
712,0.341
713,0.22
714,0.025
715,0.0
716,0.166
717,0.004
718,0.0
719,0.871
720,0.0
721,0.288
722,0.009
723,0.808
724,1.0
725,0.752
726,0.276
727,0.002
728,0.614
729,0.944
730,0.0
731,0.006
732,0.15
733,0.0
734,0.141
735,0.267
736,0.002
737,0.313
738,0.001
739,0.916
740,0.0
741,0.3
742,0.993
743,0.001
744,0.0
745,0.86
746,0.99
747,0.0
748,0.001
749,0.229
750,0.936
751,0.006
752,0.077
753,0.002
754,0.005
755,0.015
756,0.692
757,0.034
758,0.947
759,0.001
760,0.0
761,0.844
762,0.021
763,0.734
764,0.809
765,0.003
766,0.011
767,0.05
768,0.079
769,0.001
770,0.0
771,0.001
772,0.036
773,0.879
774,0.026
775,0.031
776,0.027
777,0.249
778,0.92
779,0.092
780,0.08
781,0.031
782,0.945
783,0.033
784,0.751
785,0.0
786,0.214
787,0.001
788,0.092
789,0.001
790,0.537
791,0.272
792,0.0
793,0.0
794,0.731
795,0.0
796,0.069
797,0.001
798,0.676
799,0.982
800,0.005
801,0.0
802,0.021
803,0.008
804,0.0
805,0.984
806,0.079
807,0.866
808,0.87
809,0.0
810,0.001
811,0.0
812,0.069
813,0.0
814,0.0
815,0.078
816,0.062
817,0.563
818,0.159
819,0.732
820,0.033
821,0.057
822,0.0
823,0.007
824,0.152
825,0.201
826,0.004
827,0.001
828,0.022
829,0.007
830,0.021
831,0.8
832,0.0
833,0.051
834,0.001
835,0.196
836,0.0
837,0.712
838,0.011
839,0.008
840,0.0
841,0.512
842,0.353
843,0.15
844,0.82
845,0.041
846,0.077
847,0.907
848,0.174
849,0.0
850,0.231
851,0.017
852,0.466
853,0.0
854,0.908
855,0.01
856,0.0
857,0.707
858,0.028
859,0.705
860,0.0
861,0.055
862,0.434
863,0.091
864,0.047
865,0.0
866,0.0
867,0.001
868,0.736
869,0.023
870,0.734
871,0.0
872,0.923
873,0.777
874,0.004
875,0.901
876,0.0
877,0.022
878,0.682
879,0.0
880,0.051
881,0.719
882,0.04
883,0.935
884,0.19
885,0.077
886,0.001
887,0.189
888,0.126
889,0.042
890,0.006
891,0.036
892,0.148
893,1.0
894,0.853
895,0.23
896,0.347
897,0.003
898,0.923
899,0.215
900,0.221
901,0.056
902,0.0
903,0.077
904,0.018
905,0.002
906,0.02
907,0.0
908,0.013
909,0.076
910,0.004
911,0.05
912,0.038
913,0.012
914,0.006
915,0.999
916,0.774
917,0.759
918,0.051
919,0.0
920,0.0
921,0.011
922,0.019
923,0.119
924,0.05
925,0.053
926,0.127
927,0.924
928,0.008
929,0.004
930,0.02
931,0.0
932,0.024
933,0.062
934,0.136
935,0.837
936,0.019
937,0.973
938,0.004
939,0.703
940,0.003
941,0.007
942,0.806
943,0.001
944,0.01
945,0.006
946,0.002
947,0.955
948,0.014
949,0.027
950,0.832
951,0.912
952,0.0
953,0.0
954,0.143
955,0.154
956,0.713
957,0.01
958,0.853
959,0.586
960,0.125
961,0.0
962,0.172
963,0.024
964,0.061
965,0.001
966,0.902
967,0.028
968,0.885
969,0.015
970,0.072
971,0.014
972,0.859
973,0.141
974,0.031
975,0.0
976,0.0
977,0.594
978,0.011
979,0.005
980,0.005
981,0.012
982,0.0
983,0.032
984,0.642
985,0.002
986,0.006
987,0.004
988,0.008
989,0.013
990,0.136
991,0.125
992,0.012
993,0.789
994,0.018
995,0.842
996,0.182
997,0.811
998,0.094
999,0.999
1000,0.0
1001,0.991
1002,0.596
1003,0.007
1004,0.002
1005,0.185
1006,0.004
1007,0.851
1008,0.949
1009,0.123
1010,0.0
1011,0.006
1012,0.819
1013,0.426
1014,0.171
1015,0.007
1016,0.872
1017,0.002
1018,0.002
1019,0.0
1020,0.084
1021,0.947
1022,0.005
1023,0.068
1024,0.0
1025,0.34
1026,0.068
1027,0.935
1028,0.035
1029,0.451
1030,0.001
1031,0.01
1032,0.001
1033,0.0
1034,0.01
1035,0.001
1036,0.088
1037,0.011
1038,0.001
1039,0.059
1040,0.004
1041,0.0
1042,0.006
1043,0.998
1044,0.001
1045,0.371
1046,0.029
1047,0.007
1048,0.0
1049,0.998
1050,0.085
1051,0.77
1052,0.973
1053,0.118
1054,0.093
1055,0.548
1056,0.156
1057,0.025
1058,0.995
1059,0.738
1060,0.144
1061,0.051
1062,0.012
1063,0.003
1064,0.821
1065,0.001
1066,0.997
1067,0.032
1068,0.245
1069,0.083
1070,0.005
1071,0.914
1072,0.755
1073,0.922
1074,0.0
1075,0.0
1076,0.039
1077,0.005
1078,0.612
1079,0.933
1080,0.046
1081,0.058
1082,0.139
1083,0.929
1084,0.123
1085,0.121
1086,0.041
1087,0.016
1088,0.995
1089,0.012
1090,0.588
1091,0.247
1092,0.299
1093,0.0
1094,0.0
1095,0.034
1096,0.055
1097,0.0
1098,0.432
1099,0.025
1100,0.001
1101,0.848
1102,0.174
1103,0.285
1104,0.902
1105,0.0
1106,0.012
1107,0.0
1108,0.876
1109,0.125
1110,0.812
1111,0.885
1112,0.009
1113,0.14
1114,0.003
1115,0.628
1116,0.128
1117,0.216
1118,0.717
1119,0.24
1120,0.082
1121,0.129
1122,0.049
1123,0.777
1124,0.002
1125,0.0
1126,0.745
1127,0.002
1128,0.025
1129,0.191
1130,0.001
1131,0.018
1132,0.0
1133,0.001
1134,0.051
1135,0.36
1136,0.816
1137,0.815
1138,0.046
1139,0.009
1140,0.0
1141,0.001
1142,0.029
1143,0.125
1144,0.112
1145,0.995
1146,0.079
1147,0.677
1148,0.824
1149,0.998
1150,0.0
1151,0.006
1152,0.005
1153,0.226
1154,0.087
1155,0.13
1156,0.791
1157,0.863
1158,0.024
1159,0.0
1160,0.109
1161,0.047
1162,0.668
1163,0.513
1164,0.965
1165,0.002
1166,0.983
1167,0.0
1168,0.191
1169,0.001
1170,0.002
1171,0.006
1172,0.754
1173,0.0
1174,0.033
1175,0.782
1176,0.0
1177,0.327
1178,0.004
1179,0.083
1180,0.718
1181,0.239
1182,0.247
1183,0.046
1184,0.09
1185,0.512
1186,0.009
1187,0.006
1188,0.01
1189,0.004
1190,0.047
1191,0.809
1192,0.275
1193,0.164
1194,0.0
1195,0.045
1196,0.219
1197,0.276
1198,0.0
1199,0.142
1200,0.917
1201,0.828
1202,0.075
1203,0.673
1204,0.177
1205,0.842
1206,0.109
1207,0.85
1208,0.0
1209,0.423
1210,0.991
1211,0.207
1212,0.003
1213,0.999
1214,0.0
1215,0.648
1216,0.96
1217,0.029
1218,0.121
1219,0.99
1220,0.702
1221,0.611
1222,0.134
1223,0.003
1224,0.83
1225,0.0
1226,0.912
1227,0.045
1228,0.006
1229,0.519
1230,1.0
1231,0.07
1232,0.057
1233,0.154
1234,0.031
1235,0.0
1236,0.01
1237,0.227
1238,0.0
1239,0.005
1240,0.764
1241,0.001
1242,0.004
1243,0.342
1244,0.015
1245,0.0
1246,0.995
1247,0.009
1248,0.258
1249,0.0
1250,0.998
1251,0.308
1252,0.109
1253,0.01
1254,0.021
1255,0.061
1256,0.024
1257,0.759
1258,0.934
1259,0.035
1260,0.044
1261,0.728
1262,0.015
1263,0.004
1264,0.001
1265,0.007
1266,1.0
1267,0.135
1268,0.186
1269,0.148
1270,0.055
1271,0.188
1272,0.07
1273,0.003
1274,0.001
1275,0.908
1276,0.997
1277,0.897
1278,0.137
1279,0.112
1280,0.203
1281,0.099
1282,0.747
1283,0.0
1284,0.939
1285,0.12
1286,0.993
1287,0.037
1288,0.095
1289,0.069
1290,0.026
1291,0.01
1292,0.21
1293,0.256
1294,0.025
1295,0.081
1296,0.001
1297,0.223
1298,0.011
1299,0.004
1300,0.048
1301,0.003
1302,0.872
1303,0.323
1304,0.178
1305,0.521
1306,0.0
1307,0.001
1308,0.113
1309,0.796
1310,0.346
1311,0.005
1312,0.0
1313,0.005
1314,0.777
1315,0.0
1316,0.976
1317,0.166
1318,0.792
1319,0.736
1320,0.024
1321,0.0
1322,0.626
1323,0.253
1324,0.8
1325,0.0
1326,0.125
1327,0.656
1328,0.0
1329,0.0
1330,0.0
1331,0.001
1332,0.0
1333,0.267
1334,0.864
1335,0.022
1336,0.18
1337,0.449
1338,0.04
1339,0.071
1340,0.052
1341,0.054
1342,0.054
1343,0.01
1344,0.0
1345,0.008
1346,0.903
1347,0.0
1348,0.852
1349,0.154
1350,0.672
1351,0.967
1352,0.002
1353,0.153
1354,0.006
1355,0.874
1356,0.007
1357,0.073
1358,0.103
1359,0.0
1360,0.006
1361,0.692
1362,0.0
1363,0.065
1364,0.014
1365,0.025
1366,0.204
1367,0.007
1368,0.981
1369,0.0
1370,0.0
1371,0.019
1372,0.032
1373,0.264
1374,0.005
1375,0.001
1376,0.091
1377,0.123
1378,0.987
1379,0.029
1380,0.002
1381,0.003
1382,0.026
1383,0.0
1384,0.177
1385,0.01
1386,0.02
1387,0.72
1388,0.0
1389,0.0
1390,0.006
1391,0.751
1392,0.02
1393,0.0
1394,0.003
1395,0.03
1396,0.14
1397,0.648
1398,0.055
1399,0.812
1400,0.001
1401,0.13
1402,0.0
1403,0.104
1404,0.017
1405,0.648
1406,0.017
1407,0.902
1408,0.037
1409,0.033
1410,0.009
1411,0.313
1412,0.816
1413,0.756
1414,0.1
1415,0.049
1416,0.004
1417,0.855
1418,0.867
1419,0.059
1420,0.0
1421,0.099
1422,0.009
1423,0.005
1424,0.176
1425,0.06
1426,0.382
1427,0.066
1428,0.0
1429,0.94
1430,0.212
1431,0.039
1432,0.698
1433,0.0
1434,0.022
1435,0.079
1436,0.014
1437,0.699
1438,0.023
1439,0.737
1440,0.154
1441,0.013
1442,0.784
1443,0.04
1444,0.829
1445,0.118
1446,0.138
1447,0.116
1448,0.427
1449,0.854
1450,0.013
1451,0.125
1452,0.0
1453,0.985
1454,0.902
1455,0.001
1456,0.024
1457,0.002
1458,0.003
1459,0.985
1460,1.0
1461,0.002
1462,0.626
1463,0.72
1464,0.053
1465,0.055
1466,0.137
1467,0.18
1468,0.005
1469,0.994
1470,0.753
1471,0.0
1472,0.003
1473,0.098
1474,0.001
1475,0.359
1476,0.004
1477,0.016
1478,0.0
1479,0.03
1480,0.049
1481,0.818
1482,0.993
1483,0.001
1484,0.802
1485,0.007
1486,0.011
1487,0.0
1488,0.004
1489,0.482
1490,0.184
1491,0.05
1492,0.731
1493,0.979
1494,0.011
1495,0.725
1496,0.07
1497,0.331
1498,0.706
1499,0.0
1500,0.553
1501,0.062
1502,0.001
1503,0.998
1504,0.142
1505,0.087
1506,0.11
1507,0.264
1508,0.0
1509,0.162
1510,0.004
1511,0.967
1512,0.854
1513,0.123
1514,0.787
1515,0.036
1516,0.606
1517,0.214
1518,0.008
1519,0.0
1520,0.301
1521,0.005
1522,0.002
1523,0.0
1524,0.138
1525,0.0
1526,0.005
1527,0.024
1528,1.0
1529,0.025
1530,0.415
1531,0.096
1532,0.648
1533,0.713
1534,0.002
1535,0.003
1536,0.148
1537,0.045
1538,0.011
1539,0.001
1540,0.002
1541,0.222
1542,0.102
1543,0.216
1544,0.018
1545,0.092
1546,0.0
1547,0.186
1548,0.972
1549,0.0
1550,0.0
1551,0.0
1552,0.009
1553,0.0
1554,0.992
1555,0.022
1556,0.0
1557,0.06
1558,0.006
1559,0.001
1560,0.0
1561,0.157
1562,0.939
1563,0.011
1564,0.003
1565,0.005
1566,0.089
1567,0.002
1568,0.243
1569,0.0
1570,0.002
1571,0.983
1572,0.002
1573,0.0
1574,0.001
1575,0.344
1576,0.009
1577,0.017
1578,0.026
1579,0.008
1580,0.655
1581,0.035
1582,0.64
1583,0.977
1584,0.043
1585,0.514
1586,0.057
1587,0.003
1588,0.0
1589,0.0
1590,0.113
1591,0.029
1592,0.004
1593,0.993
1594,0.14
1595,0.033
1596,0.121
1597,0.099
1598,0.001
1599,0.02
1600,0.042
1601,0.124
1602,0.0
1603,0.341
1604,0.069
1605,0.088
1606,0.0
1607,0.009
1608,0.212
1609,0.037
1610,0.072
1611,0.797
1612,0.916
1613,0.704
1614,0.002
1615,0.709
1616,0.997
1617,0.113
1618,0.008
1619,0.049
1620,0.715
1621,0.934
1622,0.006
1623,0.321
1624,0.0
1625,0.939
1626,0.163
1627,0.946
1628,0.147
1629,0.132
1630,0.044
1631,0.002
1632,0.71
1633,0.0
1634,0.007
1635,0.898
1636,0.001
1637,0.002
1638,0.846
1639,0.968
1640,0.001
1641,0.922
1642,1.0
1643,0.893
1644,0.251
1645,0.314
1646,0.186
1647,0.087
1648,0.889
1649,0.005
1650,0.004
1651,0.017
1652,0.007
1653,0.15
1654,0.425
1655,0.996
1656,0.0
1657,0.228
1658,0.0
1659,0.043
1660,0.114
1661,0.968
1662,0.122
1663,0.043
1664,0.028
1665,0.002
1666,0.812
1667,0.022
1668,0.104
1669,0.948
1670,0.966
1671,0.268
1672,0.007
1673,0.0
1674,0.852
1675,0.195
1676,0.173
1677,0.001
1678,0.091
1679,0.122
1680,0.005
1681,0.074
1682,0.999
1683,0.112
1684,0.009
1685,0.931
1686,0.013
1687,0.884
1688,0.056
1689,0.986
1690,0.0
1691,0.0
1692,0.0
1693,0.918
1694,0.255
1695,0.782
1696,0.161
1697,0.082
1698,0.016
1699,0.226
1700,0.001
1701,0.0
1702,0.007
1703,0.01
1704,0.007
1705,0.002
1706,0.812
1707,0.003
1708,0.026
1709,0.999
1710,0.0
1711,0.386
1712,0.287
1713,0.889
1714,0.186
1715,0.025
1716,0.02
1717,0.818
1718,0.925
1719,0.037
1720,0.005
1721,0.469
1722,0.772
1723,0.809
1724,0.0
1725,0.006
1726,0.839
1727,0.01
1728,0.962
1729,0.132
1730,0.213
1731,0.006
1732,0.0
1733,0.019
1734,0.027
1735,0.961
1736,0.015
1737,0.0
1738,0.773
1739,0.116
1740,0.525
1741,0.051
1742,0.017
1743,0.011
1744,0.345
1745,0.111
1746,0.027
1747,0.0
1748,0.0
1749,0.008
1750,0.0
1751,0.013
1752,0.009
1753,0.007
1754,0.769
1755,0.075
1756,0.173
1757,0.159
1758,0.079
1759,0.0
1760,0.82
1761,0.02
1762,0.005
1763,0.001
1764,0.993
1765,0.997
1766,0.0
1767,0.003
1768,0.265
1769,0.684
1770,0.015
1771,0.999
1772,0.602
1773,0.0
1774,0.637
1775,0.003
1776,0.004
1777,0.073
1778,0.0
1779,0.998
1780,0.997
1781,0.39
1782,0.0
1783,0.973
1784,0.07
1785,0.982
1786,0.896
1787,0.994
1788,0.003
1789,0.014
1790,0.151
1791,0.023
1792,0.011
1793,0.176
1794,0.091
1795,0.173
1796,0.019
1797,0.14
1798,0.877
1799,0.004
1800,0.152
1801,0.001
1802,0.002
1803,0.682
1804,0.01
1805,0.361
1806,0.01
1807,0.215
1808,0.014
1809,0.026
1810,0.663
1811,0.996
1812,0.808
1813,0.01
1814,0.75
1815,0.0
1816,0.313
1817,0.007
1818,0.086
1819,0.913
1820,0.0
1821,0.002
1822,0.0
1823,0.001
1824,0.885
1825,0.772
1826,0.887
1827,0.001
1828,0.001
1829,0.08
1830,0.0
1831,0.055
1832,0.132
1833,0.033
1834,0.007
1835,0.001
1836,0.22
1837,0.015
1838,0.003
1839,0.278
1840,0.0
1841,0.191
1842,0.381
1843,0.011
1844,0.056
1845,0.011
1846,0.0
1847,0.001
1848,0.016
1849,0.989
1850,0.019
1851,0.207
1852,0.0
1853,0.111
1854,0.068
1855,0.005
1856,0.048
1857,0.0
1858,0.0
1859,0.868
1860,0.001
1861,0.068
1862,0.98
1863,0.0
1864,0.741
1865,0.027
1866,0.0
1867,0.024
1868,0.001
1869,0.84
1870,0.065
1871,0.002
1872,0.826
1873,0.036
1874,0.0
1875,0.785
1876,0.141
1877,0.475
1878,0.063
1879,0.032
1880,0.001
1881,0.729
1882,0.84
1883,0.025
1884,0.017
1885,0.0
1886,0.142
1887,0.734
1888,0.005
1889,0.09
1890,0.073
1891,0.008
1892,0.012
1893,0.822
1894,0.108
1895,0.727
1896,0.13
1897,0.001
1898,0.008
1899,0.001
1900,0.016
1901,0.035
1902,0.061
1903,0.0
1904,0.889
1905,0.782
1906,0.054
1907,0.016
1908,0.062
1909,0.075
1910,0.178
1911,0.012
1912,0.339
1913,0.067
1914,0.092
1915,0.994
1916,0.278
1917,0.4
1918,0.002
1919,0.006
1920,0.0
1921,0.785
1922,0.714
1923,0.0
1924,0.001
1925,0.715
1926,0.058
1927,0.117
1928,0.0
1929,0.079
1930,0.088
1931,0.048
1932,0.027
1933,0.109
1934,0.036
1935,0.274
1936,0.017
1937,0.025
1938,0.892
1939,0.0
1940,0.564
1941,0.062
1942,0.002
1943,0.99
1944,0.0
1945,0.991
1946,0.042
1947,0.0
1948,0.083
1949,0.994
1950,0.295
1951,0.021
1952,0.022
1953,0.002
1954,0.16
1955,0.004
1956,0.062
1957,0.004
1958,0.014
1959,0.55
1960,0.0
1961,0.849
1962,0.999
1963,0.808
1964,0.016
1965,0.002
1966,0.0
1967,0.0
1968,0.106
1969,0.224
1970,0.019
1971,0.008
1972,0.949
1973,0.174
1974,0.026
1975,0.949
1976,0.0
1977,0.009
1978,0.18
1979,0.015
1980,0.591
1981,0.812
1982,0.006
1983,0.741
1984,0.996
1985,0.018
1986,0.872
1987,0.121
1988,0.093
1989,0.003
1990,0.003
1991,0.0
1992,0.323
1993,0.008
1994,0.088
1995,0.132
1996,0.542
1997,0.086
1998,0.971
1999,0.03
2000,0.003
2001,0.004
2002,0.071
2003,0.709
2004,0.14
2005,0.0
2006,0.014
2007,0.003
2008,0.027
2009,0.017
2010,0.018
2011,0.0
2012,0.003
2013,0.005
2014,0.22
2015,0.127
2016,0.211
2017,0.068
2018,0.867
2019,0.0
2020,0.254
2021,0.408
2022,0.003
2023,0.03
2024,0.308
2025,0.003
2026,0.778
2027,0.002
2028,0.302
2029,0.203
2030,0.792
2031,0.908
2032,0.554
2033,0.366
2034,0.013
2035,0.0
2036,0.0
2037,0.167
2038,0.695
2039,0.434
2040,0.099
2041,0.0
2042,0.037
2043,0.852
2044,0.25
2045,0.001
2046,0.001
2047,0.051
2048,0.903
2049,0.008
2050,0.0
2051,0.969
2052,0.0
2053,0.011
2054,0.0
2055,0.012
2056,0.97
2057,0.049
2058,0.0
2059,0.0
2060,0.005
2061,0.0
2062,0.002
2063,0.997
2064,0.002
2065,0.001
2066,0.758
2067,0.039
2068,0.8
2069,0.116
2070,0.194
2071,0.001
2072,0.106
2073,0.745
2074,0.799
2075,0.0
2076,0.014
2077,0.0
2078,0.0
2079,0.762
2080,0.022
2081,0.722
2082,0.073
2083,0.005
2084,0.102
2085,0.939
2086,0.57
2087,0.001
2088,0.438
2089,0.775
2090,0.72
2091,0.005
2092,0.095
2093,0.899
2094,0.001
2095,0.589
2096,0.047
2097,0.02
2098,0.51
2099,0.119
2100,0.664
2101,0.47
2102,0.011
2103,0.997
2104,0.106
2105,0.0
2106,0.961
2107,0.006
2108,0.08
2109,0.918
2110,0.818
2111,0.002
2112,0.934
2113,0.01
2114,0.0
2115,0.0
2116,0.046
2117,0.021
2118,0.092
2119,0.002
2120,0.106
2121,0.0
2122,0.004
2123,0.0
2124,0.002
2125,0.0
2126,0.001
2127,0.077
2128,0.691
2129,0.13
2130,0.014
2131,0.049
2132,0.0
2133,0.008
2134,0.37
2135,0.01
2136,0.008
2137,0.013
2138,0.001
2139,0.975
2140,0.038
2141,0.053
